cod_ibge;empresas
2512101;612
2512200;48
2512309;292
2512408;109
2512507;520
2512606;19
2512705;148
2512721;27
2512747;21
2512754;32
2512762;20
2512788;14
2512804;114
2512903;296
2513000;24
2513109;67
2513158;39
2513208;79
2513307;68
2513356;40
2513406;275
2513505;47
2513604;54
2513653;15
2513703;1188
2513802;37
2513851;18
2513901;589
2513927;41
2513943;20
2513968;31
2513984;31
2514008;41
2514107;15
2514206;70
2514305;39
2514404;20
2514453;23
2514503;197
2514552;20
2514602;20
2514651;19
2514701;72
2514800;22
2514909;37
2515005;40
2515104;70
2515203;28
2515302;406
2515401;65
2515500;150
2515609;31
2515708;27
2515807;34
2515906;36
2515930;26
2515971;56
2516003;469
2516102;194
2516151;28
2516201;1688
2516300;313
2516409;33
2516508;124
2516607;129
2516706;167
2516755;29
2516805;72
2516904;215
2517001;52
2517100;59
2517209;31
2517407;17
2600054;936
2600104;637
2600203;153
2600302;220
2600401;93
2600500;262
2600609;58
2600708;257
2600807;162
2600906;136
2601003;47
2601052;85
2601102;1064
2601201;1137
2601300;92
2601409;365
2601508;51
2601607;164
2601706;881
2601805;78
2601904;872
2602001;315
2602100;258
2602209;374
2602308;410
2602407;69
2602506;61
2602605;351
2602704;75
2602803;267
2602902;2313
2603009;254
2603108;187
2603207;134
2603306;60
2603405;40
2603454;1482
2603504;177
2603603;61
2603702;177
2603801;100
2603900;179
2603926;76
2604007;1403
2604106;8726
2604155;35
2604205;177
2604304;121
2604403;63
2604502;219
2604601;176
2604700;96
2604809;58
2604908;97
2605004;356
2605103;399
2605152;317
2605202;515
2605301;304
2605400;238
2605459;366
2605509;112
2605608;192
2605707;227
2605806;88
2605905;74
2606002;2432
2606101;194
2606200;1031
2606309;79
2606408;1465
2606507;72
2606606;173
2606705;38
2606804;1113
2606903;74
2607000;92
2607109;38
2607208;1548
2607307;284
2607406;34
2607505;116
2607604;205
2607653;398
2607703;192
2607752;179
2607802;76
2607901;7872
2607950;46
2608008;110
2608057;142
2608107;255
2608206;55
2608255;69
2608305;116
2608404;78
2608453;118
2608503;169
2608602;61
2608701;81
2608750;220
2608800;538
2608909;1112
2609006;194
2609105;114
2609154;68
2609204;44
2609303;136
2609402;709
2609501;367
2609600;5709
2609709;202
2609808;49
2609907;786
2610004;688
2610103;30
2610202;119
2610301;81
2610400;170
2610509;251
2610608;491
2610707;3164
2610806;84
2610905;631
2611002;353
2611101;6949
2611200;69
2611309;240
2611408;72
2611507;121
2611533;75
2611606;46757
2611705;206
2611804;249
2611903;139
2612000;97
2612109;32
2612208;872
2612307;73
2612406;153
2612455;103
2612471;135
2612505;2448
2612554;135
2612604;196
2612703;87
2612802;79
2612901;57
2613008;306
2613107;262
2613206;116
2613305;90
2613404;177
2613503;282
2613602;427
2613701;851
2613800;109
2613909;1506
2614006;96
2614105;278
2614204;192
2614303;87
2614402;41
2614501;1054
2614600;357
2614709;77
2614808;113
2614857;351
2615003;304
2615102;36
2615201;68
2615300;705
2615409;988
2615508;66
2615607;428
2615706;245
2615805;102
2615904;114
2616001;142
2616100;50
2616183;34
2616209;159
2616308;209
2616407;1754
2616506;58
2700102;84
2700201;100
2700300;4419
2700409;236
2700508;103
2700607;214
2700706;131
2700805;42
2700904;25
2701001;207
2701100;51
2701209;85
2701308;141
2701357;39
2701407;277
2701506;76
2701605;89
2701704;134
2701803;35
2701902;47
2702009;79
2702108;150
2702207;24
2702306;412
