MUNICIPIO IBGE;Min - DATA INÍCIO;Count - NOME INSTITUIÇÃO                                                                                                                                                                                        ;ano;mês;anomes
2512101;12/1/1978;4;1978;1;19781
2512309;8/1/1975;2;1975;1;19751
2512507;;2;;;
2512903;;1;;;
2513406;;2;;;
2513703;6/1/1989;6;1989;1;19891
2513901;12/4/1978;3;1978;4;19784
2514503;12/5/1986;1;1986;5;19865
2515302;7/12/1965;4;1965;12;196512
2515500;;1;;;
2516003;10/9/1986;3;1986;9;19869
2516102;3/3/1980;1;1980;3;19803
2516201;1/2/1959;6;1959;2;19592
2516300;5/3/1982;1;1982;3;19823
2516607;;1;;;
2516706;;1;;;
2516904;6/1/1978;1;1978;1;19781
2600054;6/7/1991;6;1991;7;19917
2600104;6/1/1989;3;1989;1;19891
2600203;6/1/1978;1;1978;1;19781
2600302;12/7/1989;1;1989;7;19897
2600401;;1;;;
2600500;;1;;;
2600708;;1;;;
2600807;;1;;;
2601102;11/7/1978;6;1978;7;19787
2601201;12/6/1973;6;1973;6;19736
2601409;11/5/1982;4;1982;5;19825
2601607;6/1/1978;1;1978;1;19781
2601706;11/3/1970;6;1970;3;19703
2601904;6/1/1989;5;1989;1;19891
2602001;11/8/2011;2;2011;8;20118
2602100;;4;;;
2602209;6/8/1990;1;1990;8;19908
2602308;9/8/1975;3;1975;8;19758
2602605;;2;;;
2602803;;3;;;
2602902;2/8/1963;8;1963;8;19638
2603009;;4;;;
2603108;12/7/1989;1;1989;7;19897
2603207;;1;;;
2603454;3/4/1986;6;1986;4;19864
2603702;;1;;;
2604007;10/11/2011;6;2011;11;201111
2604106;12/6/1973;17;1973;6;19736
2604205;;3;;;
2604502;;1;;;
2605004;6/1/1978;1;1978;1;19781
2605103;3/7/1990;2;1990;7;19907
2605202;11/4/1982;5;1982;4;19824
2605301;12/12/1978;1;1978;12;197812
2605459;;2;;;
2605707;;3;;;
2605905;;1;;;
2606002;1/5/1953;8;1953;5;19535
2606200;12/7/1942;6;1942;7;19427
2606408;4/12/1976;5;1976;12;197612
2606606;;1;;;
2606804;10/4/1982;5;1982;4;19824
2607208;;7;;;
2607307;;1;;;
2607505;;1;;;
2607604;11/11/1991;1;1991;11;199111
2607653;;2;;;
2607752;;1;;;
2607901;4/12/1976;20;1976;12;197612
2608107;6/8/1990;1;1990;8;19908
2608503;;1;;;
2608750;;1;;;
2608800;6/1/1989;3;1989;1;19891
2608909;;5;;;
2609402;8/7/1989;3;1989;7;19897
2609501;10/5/1990;3;1990;5;19905
2609600;2/6/1981;9;1981;6;19816
2609709;;1;;;
